Title:;2
school;בית ספר;בֵּית סֶפֶר
radio;רדיו;רַדִיוֹ
video;וידאו;וִידֵאוֹ
house;בית;בָּית
houses;בתים;בָּתִים
head;ראש;רֹאשׁ
heads;ראשים;רָאשִׁים
chairman (m);יושב ראש;יוֹשֵׁב ראשׁ
shop;חנות;חֲנוּת
shops;חנויות;חָנוּיוֹת
job;עבודה;עֲבוֹדָה
jobs;עבודות;עֲבוֹדוֹת
only;רק;רַק
if;אם;אִם
new (m);חדש;חַדָשׁ
new (f);חדשה;חַדַשָׁה
to want;לרצות;לִרְצוֹת
to see;לראות;לִרְאוֹת
to drink;לשתות;לִשְׁתוֹת
to sit;לשבת;לָשֶׁבֶת
restaurants;מסעדות;מִסְעָדָוֹת
to buy;לקנות;לִקְנוֹת
country;ארץ;אֶרֶץ
countries;ארצות;אָרְצוֹת
juice;מיץ;מִיץ
juices;מיצים;מִיצִים
restaurant;מסעדה;מִסְעָדָה
cake;עוגה;עוּגָה
cakes;עוגות;עוּגָוֹת
salad;סלט;סָלָט
salads;סלטים;סָלָטִים
chocolate;שוקולד;שׁוֹקוֹלָד
sorry;סליחה;סְלִיחָה
maybe;אולי;אוּלַי
to where;לאן;לְאָן
Jerusalem;ירושלים;יְרוּשָׁלַים
Sinai;סיני;סִינַי
;;
when;מתי;מָתַי
how much;כמה;כַּמָה
how;איך;אֵיךְ
farmer;איכר;אִיכָּר
bus;אוטובוס;אוֹטוֹבּוּס
vending machine;אוטומט;אוֹטוֹמַט
autograph;אוטוגרף;אוֹטוֹגְרַף
energy;אנרגיה;אֶנֶרְגְיָה
mail;דואר;דוֹאַר
lake;אגם;אֲגָם
office;חדר עבודה;חֲדַר עֲבוֹדָה
kitchen;מטבח;מִטְבָּה
dining room;חדר אכל;חֲדַר אֹכֶל
bedroom;חדר שינה;חֲדַר שֵׁינָה
garage;מוסך;מוּסָךְ
toilet;שירותים;שֵׁירוּתִים
bathroom;חדר אמבטיה;חֲדַר אַמְבַּטְיָה
living room;סלון;סָלוֹן
window;חלון;
carpet;שטיח;שָׁטִיחַ
basement;מרתף;מַרְתֵףּ
mailbox;תיבת דואר;תֵיבַת דוֹאַר
red;אדום;אָדוֹם
orange;כתום;כָּתוֹם
blue;כחול;כָּחוֹל
yellow;צהוב;צָהוֹב
green;ירוק;יָרוֹק
white;לבן;לָבָן
brown;חום;חוּם
black;שחור;שָׁחוֹר
colorful;צבעוני;צִבְעוֹנִי
gray;אפור;אָפוֹר
pink;ורוד;וָרוֹד
alcohol;אלכוהול;אַלְכּוֹהוֹל
elegant;אלגנטי;אֶלֶגַנְטִי
artist;אמן;אֳמָן
ambulance;אמבולנס;אַמְבּוּלַנְס
infection;אינפקציה;אִינְפֶקְצְיָה
hotel;מלון;מָלוֹן
opera;אופרה;אוֹפֶּרָה
motorcycle;אופנוע;אוֹפַנוֹעַ
car;מכונית;מְכוֹנִית
bicycle;אופנים;אוֹפַנַיִם
cow;פרה;פָּרָה
bull;פר;פַּר
sofa;ספה;סָפָּה
bar;בר;בַּר
daughter;בת;בַּת
holiday;חג;חַג
wheel;גלגל;גַלְגַל
wave;גל;גַל
grandfather;סבא;סַבָּא
Sabbath;שבת;שַׁבַּת
holidays;חגים;חַגִים
cold (m);קר;קַר
cold (f);קרה;קָרָה
butterfly;פרפר;פַּרפָּר
happy;שמח;שָֹמֵחַ
but;אבל;אֲבָל
why;למה;לָמָה
please;בבקשה;בְּבַקָשָׁה
morning;בוקר;בּוֹקֶר
good morning;בוקר טוב;בְּוֹקֶר טוֹב
rabbi;רב;רַב
mister;מר;מַר
more;עוד;עוֹד
page;דף;דַף
conversation;שיחה;שִֹיחָה
physician (m);רופא;רוֹפֵא
family;משפחה;מִשְׁפָּחָה
really?;באמת;בֶּאֱמֶת
which;איזה;אֵיזֶה
one;אחת;אַחַת
two;שתים;שְׁתַיִם
street;רחוב;רְחוֹב
number;מספר;מִסְפָּר
numbers;מספרים;מִסְפָּרִים
three;שלוש;שָׁלוֹשׁ
four;ארבע;אַרְבַּע
five;חמש;חָמֵשׁ
six;שש;שֵׁשׁ
seven;שבע;שֶׁבַע
eight;שמונה;שְׁמוֹנֶה
nine;תשע;
zero;אפס;אֶפֶס
physician (f);רופאה;רוֹפַא
secretary (m);מזכיר;מַזכִּיר
secretary (f);מזכירה;מַזכִּירָה
hard;קשה;קָשֶׁה
ill (m);חולה;חוֹלֶה
ill (f);חולה;חוֹלָה
minute;דקה;דַקָה
minutes;דקות;דַקוֹת
hour;שעה;שָׁעָה
